Ten_lop,ID_lop,ID_khoa
02402SO,188,0
02404PY,189,0
02502DN,190,0
02503DN,191,0
02701A,192,0
02701B,193,0
02701C,194,0
02702A,195,0
02703A,196,0
02703B,197,0
02705A,198,0
02709A,199,0
02709B,200,0
02710A,201,0
02710B,202,0
02D02VD,203,0
02D02VĐ,204,0
02D03VD,205,0
02F01VH,206,0
02F05VH,207,0
031011A,208,0
031011B,209,0
031011C,210,0
031012A,211,0
031012B,212,0
031012C,213,0
031012D,214,0
031021A,215,0
031021B,216,0
031021C,217,0
031022A,218,0
031022B,219,0
031022C,220,0
031031A,221,0
031031B,222,0
031031C,223,0
031032A,224,0
031032B,225,0
031032C,226,0
031041A,227,0
031041B,228,0
031041C,229,0
031041D,230,0
03104DN,231,0
03104HU,232,0
031051A,233,0
031051B,234,0
031051C,235,0
031052A,236,0
031052B,237,0
031052C,238,0
031061A,239,0
031061B,240,0
031071A,241,0
031071B,242,0
031081A,243,0
031081B,244,0
031081C,245,0
031091B,246,0
031091C,247,0
031091D ,248,0
031101,249,0
031102,250,0
031111A ,251,0
031111B,252,0
031121A,253,0
031121B,254,0
031131A ,255,0
031131B,256,0
031141A,257,0
031141B,258,0
031141C,259,0
031211A,260,0
031211D,261,0
031231A ,262,0
031231B ,263,0
032011  ,264,0
032021,265,0
032031  ,266,0
032051  ,267,0
032091  ,268,0
033011,269,0
033021,270,0
033031,271,0
033091,272,0
03401CT,273,0
03401DA,274,0
03402QN,275,0
03402SO,276,0
03404PY,277,0
03405DA,278,0
03409DA,279,0
03503DN,280,0
037011A,281,0
037011B,282,0
037021A ,283,0
037021B,284,0
037031A,285,0
037031B,286,0
037051A ,287,0
037051B,288,0
037091A,289,0
037091B,290,0
037101A,291,0
037101B ,292,0
03D02VDA,293,0
03D02VDB,294,0
03D03,295,0
03D03VDA,296,0
03D03VĐA,297,0
03F02VH,298,0
03F03VH,299,0
03F05VH,300,0
03F09VH,301,0
041011A,302,0
041011B,303,0
041011C,304,0
041012A,305,0
041012B,306,0
041012C,307,0
041021A,308,0
041021B,309,0
041021C,310,0
041022A,311,0
041022B,312,0
041022C,313,0
041031A,314,0
041031B,315,0
041031C,316,0
041032A,317,0
041032B,318,0
041032C,319,0
041040A,320,0
041040B,321,0
041040C,322,0
041040D,323,0
04104BD,324,0
04104C,325,0
04104CTU,326,0
04104DN,327,0
04104LD,328,0
041051A,329,0
041051B,330,0
041051C,331,0
041052A,332,0
041052B,333,0
041052C,334,0
041060A,335,0
041060B,336,0
041060C,337,0
041070A,338,0
041070B,339,0
041070C,340,0
041080A,341,0
041080B,342,0
041080C,343,0
041080D,344,0
041090A,345,0
041090B,346,0
041090C,347,0
041090D,348,0
041101,349,0
041102,350,0
041110A,351,0
041110B,352,0
041110C,353,0
041120A,354,0
041120B,355,0
041120C,356,0
041130A,357,0
041130B,358,0
041140A,359,0
041140B,360,0
041140C,361,0
041150A,362,0
041150B,363,0
041160A,364,0
041160B,365,0
041210A,366,0
041210B,367,0
04121LD,368,0
041230A,369,0
041230B,370,0
042010A,371,0
042010B,372,0
042020A,373,0
042020B,374,0
042030A,375,0
042030B,376,0
042050A,377,0
042050B,378,0
042090A,379,0
042090B,380,0
043010B,381,0
043020A,382,0
043020B,383,0
043020C,384,0
043030A,385,0
043030B,386,0
04401CT,387,0
04401DA,388,0
04401VL,389,0
04402DN,390,0
04403DN,391,0
