ID_GiaoTrinh,Ten_GT
115,"Giao nhận, vận tải và bảo hiểm/Đỗ Quốc Dũng, Trần Hoàng Giang,  Nguyễn Thành Long"
116,"Contemporary Logistics/Paul R. Murphy Jr., A. Michael Knemeyer, "
117,Strategy and Competition/Micheal E. Porter
118,Quản trị Logistics/Đoàn Thị Hồng Vân
119,Kinh tế học đại cương
120,"Bài tập kinh tế học đại cương/ Trần Đăng Thịnh (chủ biên), Nguyễn Thị Thanh Vân, Trương Thị Hòa, Nguyễn Thị Thanh Thúy, Phan Thị Kim Phương"
121,Principles of Economics
122,Kinh tế học vi mô
123,Kinh tế học vĩ mô
124,Cẩm nang quản trị kho hàng/Phan Thanh Lâm
125,Warehouse distribution and operation handbook 
126,Business Logistics/ Supply chain managenment/Ballou R. H.
127,Essentials of inventory management/Max Muller
128,"Kinh tế vi mô/Lê Bảo Lâm, Nguyễn Như Ý, Trần Thị Bích Dung, Trần Bá Thọ"
129,Quản trị học=Management/Nguyễn Thị Liên Diệp
130,"Quản trị chiến lược/Lê Thế Giới, Nguyễn Thanh Liêm, Trần Hữu Hải"
131,Câu hỏi  Bài tập trắc nghiệm Kinh tế học vi mô
132,"Fundamentals of management/ Stephen P. Robbins, Mary K. Coulter, David A. De Cenzo"
133,Bài tập Kinh tế học vĩ mô
134,Quản lý chuỗi cung ứng/Nguyễn Kim Anh
135,Quản lý chuỗi cung ứng/Nguyễn Kim Anh
136,"Designing and managing the supply chain : Concepts, strategies, and case studies / David Simchi-Levi, Philip Kaminsky, Edith Simchi-Levi"
137,"Supply Chain Management. Strategy, Planing, and Operation/ Sunil Chopra"
138,Quản trị vận hành và chuỗi cung ứng/F.Robert Jacobs & Richard B.Chase
139,"Logistics Management and Strategy: Competing Through the Supply Chain/Alan Harrison, Remko Van Hoek"
140,Giáo trình nguyên lý Kế toán
141,"Strategic Management and Business Policy toward Global sustainability, 13th edition/Thomas L. Wheelen and J. David Hunger"
142,Luật kế toán
143,"Strategic Management: Concepts and cases, 13th edition/Fred R. David"
144,"Research Methods for Business Students Fourth Edition/Mark Saunders, Philip Lewis, Adrian Thornhill"
145,Phương pháp nghiên cứu kinh tế kiến thức cơ bản/Trần Tiến Khai
146,"Research methods for business students / Mark Saunders, Philip Lewis, Adrian Thornhill"
147,Business Research Methods: An Applied Orientation/Sreejesh
148,"Quản lý chất lượng /Tạ Thị Kiều An, Ngô Thị Ánh, Nguyễn Thị Ngọc Diệp,..."
149,"Research methods for business students =Phương pháp nghiên cứu trong kinh doanh/Mark Saunders, Philip Lewis, Adrian Thornhill; Nguyễn Văn Dung"
150,"Quản lý chất lượng trong các tổ chức : Bài tập /Tạ Thị Kiều An, Ngô Thị Ánh, Nguyễn Ngọc Diệp,..."
151,"Research methods for business students =Phương pháp nghiên cứu trong kinh doanh/Mark Saunders, Philip Lewis, Adrian Thornhill; Nguyễn Văn Dung"
152,Quản trị chất lượng = Quality management/Nguyễn Kim Định
153,"Quản lý chất lượng/Bùi Nguyễn Hùng, Nguyễn Thuý Quỳnh Loan"
154,Quality planning and analysis: From product development through use/ Frank M. Gryna ; Earlier ed. by J. M. Juran
155,"Giáo trình Nguyên lý Kế toán/Võ Văn Nhị, Phạm Ngọc Toàn;  Trần Thị Thanh Hải "
156,Giáo trình Quản trị ngoại thương/Đoàn Thị Hồng Vân
157,Kỹ thuật kinh doanh xuất nhập khẩu/Võ Thanh Thu
158,Giáo trình Kỹ thuật Kinh doanh thương mại quốc tế/Hà Thị Ngọc Oanh
159,"Nghiệp vụ ngoại thương/Đỗ Quốc Dũng (ch.b); Trần Hoàng Giang, Nguyễn Thành Long, Vòng Thình Nam (biên soạn)"
160,Intercorms/Nguyễn Văn Dung
161,Negotiation and Arbitration of International Commercial Contracts/Joseph L. Daly
162,Uniform custom and practice for documentary Credit 600/UCP 600
163,Quản lý chuỗi cung ứng
164,"Export - Import theory, practices and procedure. /Belayt Seyoum"
165,Purchasing and supply chain management / Arjan J. van Weele
166,Purchasing and supply chain management / Arjan J. van Weele
167," Contracts, relationships and integration: Towards a model of the procurement of complex performance/Lewis, M.A., Roehrich, J.K. "
168,Supply chain management
169,"Designing and managing the supply chain : Concepts, strategies, and case studies / David Simchi-Levi, Philip Kaminsky, Edith Simchi-Levi"
170,"Marketing dịch vụ hiện đại/Lưu Đan Thọ, Tôn Thất Hoàng Hải, Cao Minh Nhựt"
171,Quản trị chiến lược chuỗi cung ứng
172,"Giáo trình marketing căn bản/Đinh Tiên Minh, Quách Thị Bửu Châu, Nguyễn Văn Trưng, Đào Hoài Nam"
173,Giáo trình marketing dịch vụ:Sách chuyên khảo/Lưu Văn Nghiêm
174,International Human Resource Management
175,"Quản trị dịch vụ/Lưu Đan Thọ, Vòng Thình Nam"
176,"Giáo trình marketing căn bản/Đinh Tiên Minh, Quách Thị Bửu Châu, Nguyễn Văn Trưng, Đào Hoài Nam"
177,Quản trị nguồn nhân lực =Human Resource Management /Trần Kim Dung
178,Giáo trình Marketing căn bản/Trần Minh Đạo
179,"Quản trị marketing/Lê Thế Giới, Nguyễn Xuân Lãn"
180,Quản trị nhân lực
181,"Quản trị marketing/Philip Kotler; Vũ Trọng Hùng (dịch), Phan Thăng (hiệu đính)"
182,Quản trị nhân sự
183,Quản trị nguồn nhân lực
184,"Quản trị marketing hiện đại - Định hướng mối quan hệ: Lý thuyết và tình huống ứng dụng của các công ty Việt Nam/Lưu Đan Thọ, Trần Thanh Toàn, Nguyễn Nam Hải"
185, Lịch sử các học thuyết kinh tế/Trần Bình Trọng (chủ biên)
186,"Lịch sử các học thuyết kinh tế/Phạm Văn Chiến, Nguyễn Ngọc Thanh"
187,"Tư tưởng kinh tế kể từ Keynes/Michel Beaud, Gilles Dostaler, Nguyễn Đôn Phước (biên dịch)"
188,Thanh toán quốc tế
189,"Giải pháp Keynes – Con đường dẫn đến sự thịnh vượng kinh tế toàn cầu/Paul Davidson (biên soạn), Nguyễn Hằng (biên dịch)"
190,Thanh toán quốc tế trong ngoại thương và tài trợ thương mại quốc tế
191,"Ba người khổng lồ trong kinh tế học (Adam Smith, Các Mác, và John Maynard Keynes)/Mark Skousen (chủ biên), Nguyễn Hoàng Hà và cộng sự (biên dịch)"
192,"Quản trị vận hành hiện đại (Quản trị sản xuất và dịch vụ) : Lý thuyết và tình huống thực hành ứng dụng của các công ty Việt Nam / Đặng Minh Trang, Lưu Đan Thọ"
193," Giao nhận, vận tải và bảo hiểm /Đỗ Quốc Dũng, Trần Hoàng Giang,  Nguyễn Thành Long"
194,Unitization and packaging cargo/AFFA training manual
195,"Fundamentals of Packaging Technology -5th Edition/CPP, Institute of Packaging Professionals, Walter Soroka"
196,Intermodal Transportation/Joseph Tshilomb JK
197,"Câu hỏi và bài tập môn Thuế /Lê Xuân Trường, Vương Thị Thu Hiền"
198,Thanh toán quốc tế
199,Cẩm nang Thanh toán quốc tế và tài trợ ngoại thương
200,Incoterms 2000 – Hỏi và đáp về Incoterms 2000
201,Toàn tập UCP 600:Phân tích và bình luận toàn diện tình huống tín dụng chứng từ / Nguyễn Trọng Thùy
202,"Giáo trình Kiểm toán/Bộ môn Kiểm toán, Khoa Kế toán - Kiểm toán, Trường Đại học Kinh tế TP.HCM"
203,"Principles of auditing & other assurance services/O. Ray Whittington, Kurt Pany"
204,"Auditing: An Integrated Approach/Arens, A.A. và Locbbecke, J.K.	"
205,"Kiểm toán (Auditing)/Alvin A.Arens & James K.Loebbecke – Dịch và biên soạn Phạm Văn Dược, Đặng Kim Cương"
206,"Giáo trình kế toán số, kế toán doanh nghiệp/Công ty CP MISA"
207,Hệ thống thông tin kế toán – tập 3 /Bộ môn hệ thống thông tin kế toán – Đại học Kinh tế TPHCM
208,Giáo trình Kế toán Ngân hàng/Trương Thị Hồng
209,"Giáo trình Kế toán ngân hàng/Nguyễn Thị Loan, Lâm Thị Hồng Hoa, Học viện Ngân hàng"
210,"Giáo trình Kế toán ngân hàng/Nguyễn Thị Thanh Hương (chủ biên) – Vũ Thiện Thập, Học viện Ngân hàng"
211,"Microsoft Office Professional 2013 Step By Step/Beth Melton, Mark Dodge, Echo Swinford, Andrew Couch, Eric Legault, Ben M. Schorr, Ciprian Adrian Rusen"
212,"Microsoft Office Professional 2013 Step By Step/Beth Melton, Mark Dodge, Echo Swinford, Andrew Couch, Eric Legault, Ben M. Schorr, Ciprian Adrian Rusen"
213,"Giáo trình Kế toán tài chính, phần 3-4/Nhóm GV khoa kế toán kiểm toán"
214,"Giáo trình Kế toán quản trị/""Huỳnh Lợi,  Ray H. Garrison, Eric W. Noreen và Peter C. Brewer"""
215,Giáo trình kế toán hành chính sự nghiệp/Võ Văn Nhị
216,"Presentation Skills For Students/Joan van Emden, Lucinda Becker"
217,Giáo trình Thị trường chứng khoán/Đào Kim Yến
218,Giáo trình Nghiệp vụ ngân hàng thương mại/Trầm Thị Xuân Hương
219,Tangled Web: A Guide to Securing Modern Web Applications. 
220,"Giáo trình kế toán tài chính - Quyển 1: Đã chỉnh sửa và bổ sung theo thông tư số 200/2014/TT/BTC ngày 22/12/2014/Nguyễn Xuân Hưng, Phan Thị Thu Hà, Nguyễn Thị Kim Cúc,..."
221,"Giáo trình kế toán tài chính - Quyển 2: Đã chỉnh sửa và bổ sung theo thông tư số 200/2014/TT/BTC ngày 22/12/2014/Nguyễn Thị Kim Cúc, Nguyễn Xuân Hưng, Đặng Ngọc Vàng,..."
222,Cryptography and network security: Principles and practice / William Stallings
223,"Giáo trình kế toán tài chính - Quyển 3: Đã chỉnh sửa và bổ sung theo thông tư số 200/2014/TT/BTC ngày 22/12/2014/Đặng Ngọc Vàng, Bùi Văn Dương, Hà Xuân Thạch,..."
224,"Commerce 1:Oxfoxd English for careersent : Student's book/Martyn Hobb, Julia Starr Keddle"
225,"Giáo trình Kế toán tài chính, phần 3/Khoa Kế toán - ĐHKT TPHCM"
226,"Giáo trình Kế toán tài chính, phần 3/Khoa Kế toán - ĐHKT TPHCM"
227,"Hướng dẫn thực hành lập sổ sách kế toán - Báo cáo tài chính và báo cáo thuế GTGT trên EXCEl :Sữa đổi, bổ sung theo QĐ 15/2006/QĐ-BTC, ngày 20/03/2006 (Áp dụng cho doanh nghiệp lớn)và QĐ 48/QĐ-BTC, ngày 14 tháng 09 năm 2006 ( Áp dụng cho DN vừa và nhỏ ), chỉnh sửa theo TT 161/2007/TT-BTC ngày 21/12/2007 và TT 84/2008/TT-BTC ngày 30/09/2008 /Bùi Văn Dương, Võ Văn Nhị, Đặng Quang Sáng, Nguyễn Ngọc Hiến"
228,"Kê khai, quyết toán thuế 2017 và chính sách thuế mới sửa đổi, bổ sung"
229,Chính sách Thuế và những quy định về công tác quản lý kế toán trong các loại hình doanh nghiệp
230,"Giáo trình Nguyên lý kế toán/""Võ Văn Nhị (chủ biên) """
231,Giáo trình Thuế/ Phan Hữu Nghị
232,"Database systems : The complete book / Hector Garcia-Molina, Jeffrey D. Ullman, Jennifer Widom"
233,"Kiểm toán (Auditing)/Alvin A.Arens & James K.Loebbecke – Dịch và biên soạn Phạm Văn Dược, Đặng Kim Cương"
234,"Giáo trình Kiểm toán/Bộ môn Kiểm toán, Khoa Kế toán - Kiểm toán, Trường Đại học Kinh tế TP.HCM"
235,"Database system concepts/Abraham Silberschatz, Henry F. Korth, S. Sudarshan"
236,"Interpretation and Application of IFRS Standards/PFK International Limited	"
237,Giáo trình Hệ thống thông tin kế toán - phần 2 (Kế toán Access)/Khoa Kế toán Kiểm toán ĐH Công Nghiệp
238,Fundamentals of Database System
239,Tài chính doanh nghiệp căn bản:Lý thuyết & thực hành quản lý ứng dụng cho các doanh nghiệp Việt Nam/Nguyễn Minh Kiều
240,Tài chính doanh nghiệp căn bản:Lý thuyết & thực hành quản lý ứng dụng cho các doanh nghiệp Việt Nam/Nguyễn Minh Kiều
241,"Phân tích hoạt động kinh doanh/ Trần Thụy Ái Phương, Nguyễn Thị Châu Long"
242,"Research methods for business students / Mark Saunders, Philip Lewis, Adrian Thornhill"
243,Phương pháp nghiên cứu kinh tế kiến thức cơ bản/Trần Tiến Khai
244,An Introduction to Mathematical Economoics Part1/Micheal Sampson 
245,How to Win Your Investors' Confidence
246,How to Write a Business Plan
247,"The Corporate Culture Survival Guide/Edgar H. S., "
248,Guide to business planning
249,Văn hóa doanh nghiệp/Đỗ Thị Phi Hoài
250,Đạo đức kinh doanh và văn hóa công ty:Phương pháp môn học và phân tích tình huống/Nguyễn Mạnh Quân
251,"Doanh nhân và Văn hóa kinh doanh/""Nguyễn Quang Vinh,  Trần Hữu Quang """
252,"Hệ thống sản xuất/Nguyễn Thị Thu Hằng, Đường Võ Hùng"
253,Operations Management/Roberta S. Russelll and Bernard W. Taylor III
254, Bài giảng Quản trị sản xuất 1
255,Project Management – Achieving competitive advantage/Pinto
256,Giáo trình luật kinh tế /Phạm Duy Nghĩa
257,Quản lý dự án/ Cao Hào Thi (ch.b.); Nguyễn Thuý Quỳnh Loan
258, Luật Doanh nghiệp năm 2014
259,"Quản trị dự án/Nguyễn Thanh Liêm, Đoàn Thị Liên Hương, Nguyễn Văn Long"
260,  Luật Phá sản năm 2014 
261, Luật Đầu tư năm 2014 
262, Luật Thương mại năm 2005 
263, Bộ luật Dân sự năm 2015
264, Bộ luật Tố tụng dân sự năm 2015
265,"Project Management/Field, M., Keller, L."
266,  Luật Trọng tài Thương mại năm 2010
267,Sản xuất tinh gọn- một số kinh nghiệm thế giới/Phan Chí Anh
268,"Digital marketing. Strategy, Implementation and Practice"
269,How to implement Lean manufacturing/Lonie Wilson
270,eMarketing eXcellence. Planning and optimizing your digital marketing
271,"Phương thức Toyota =The Toyota way : 14Những nguyên lý quản trị nổi tiếng của Toyota - Tập đoàn đã tạo ra dây truyền sản xuất tinh gọn /Jeffrey K. Liker; Trường Khanh, Sỹ Huy, Hắc Hải ( dịch )"
272,Digital marketing. Using New Technologies to Get Closer to Your Customers
273,"Quản trị tinh gọn tại các doanh nghiệp vừa và nhỏ Việt Nam- Thực trạng và giải pháp/Nguyễn Hồng Sơn, Nguyễn Đăng Minh"
274,Phân tích và thiết kế hướng đối tượng bằng UML
275,Phân tích và thiết kế HTTT theo UML
276,"Phân tích và thiết kế HTTT, Các phương pháp có cấu trúc"
277,Quản trị sản xuất và dịch vụ :Lý thuyết và bài tập /Đồng Thị Thanh Phương
278,"Learning UML 2.0 / Russ Miles, Kim Hamilton"
279,"Quản trị sản xuất/Nguyễn Thanh Liêm, TS. Nguyễn Quốc Tuấn, ThS. Lê Thị Minh Hằng"
280,"Bài tập quản trị sản xuất/Nguyễn Thanh Liêm, Nguyễn Quốc Tuấn, Lê Thị Minh Hằng"
281,Phân tích và thiết kế hướng đối tượng bằng UML
282,Operations Management/Roberta S. Russelll and Bernard W. Taylor III
283,Quản trị nguồn nhân lực =Human Resource Management /Trần Kim Dung
284,Sales Management (Quản trị bán hàng)
285,"Quản trị nguồn nhân lực/George T. Milkovich, John W. Boudreau , Dịch: Vũ Trọng Hùng"
286,Armstrong’s Handbook of Human Resources Management Practice/Michael Armstrong
287,Giáo trình Quản trị xuất nhập khẩu/Đoàn Thị Hồng Vân
288,Quản trị chất lượng dịch vụ hiện đại
289,"Quản trị ngoại thương/Đoàn Thị Hồng Vân, Kim Ngọc Đạt"
290,Kỹ thuật kinh doanh xuất nhập khẩu/Võ Thanh Thu
291,"Nghiệp vụ ngoại thương/Đỗ Quốc Dũng (ch.b); Trần Hoàng Giang, Nguyễn Thành Long, Vòng Thình Nam (biên soạn)"
292,Giáo trình Quản lý chất lượng trong các tổ chức
293,Bài tập Quản lý chất lượng trong các tổ chức  
294,"Quản trị marketing/Lê Thế Giới, Nguyễn Xuân Lãn"
295,"Quản trị marketing/Philip Kotler; Vũ Trọng Hùng (dịch), Phan Thăng (hiệu đính)"
296,Thấu hiểu tiếp thị từ A đến Z: 80 Khái niệm nhà quản lý cần biết/ Philip Kolter; Lê Hoàng Anh (dịch)
297,Quản trị chất lượng = Quality management/Nguyễn Kim Định
298,Project Management -Achieving competitive advantage/Pinto
299,"Quản lý chất lượng/Bùi Nguyễn Hùng, Nguyễn Thuý Quỳnh Loan"
300,Quản lý dự án/ Cao Hào Thi (ch.b.); Nguyễn Thuý Quỳnh Loan
301,"Project Management./Field, M., Keller, L."
302,"Quản trị dự án/Nguyễn Thanh Liêm, Đoàn Thị Liên Hương, Nguyễn Văn Long"
303,Total Quality Management
304,"Giáo trình quản lý công nghệ/Nguyễn Đăng Dậu, Nguyễn Xuân Tài"
305,"Quality management for organizational excellence:Introduction to total quality/David L. Geotsch, Stanley . Davis"
306,Quản lý công nghệ/Hoàng Trọng Thanh
307,Quản trị công nghệ/Trần Thanh Lâm
308,E-commerce Operations Management
309,Strategic Management and Business Policy toward Global sustainability
310,Strategic Management: Concepts and cases/Fred R. David
311,Service Quality Management: Theory and application
312,"Quản lý chất lượng trong các tổ chức : Bài tập /Tạ Thị Kiều An, Ngô Thị Ánh, Nguyễn Ngọc Diệp,..."
313,"Quản lý chất lượng trong các tổ chức/Tạ Thị Kiều An, Ngô Thị Ánh, Nguyễn Văn Hóa,..."
314,Quản trị chất lượng = Quality management/Nguyễn Kim Định
315,"Quản lý chất lượng/Bùi Nguyễn Hùng, Nguyễn Thuý Quỳnh Loan"
316,Total Quality Management/James R.Evans and William M.Lindsay
317,International Human Resource Management
318,"Quality management for organizational excellence:Introduction to total quality/David L. Geotsch, Stanley . Davis"
319,Protocols for secure electronic commerce / Mostafa Hashem Sherif
320,Quản lý bảo trì công nghiệp/Phạm Ngọc Tuấn
321,Introducing HTML5
322,Beginning CSS: Cascading Style Sheets for Web Design
323,Giáo trình quản lý bảo trì công nghiệp/ Nguyễn Phương Quang
324,Professional JavaScript for Web Developers 
325,"Research methods for business students / Mark Saunders, Philip Lewis, Adrian Thornhill"
326,Business Research Methods: An Applied Orientation/Sreejesh
327,"Big data fundamentals:Concepts, drivers & techniques/Thomas Erl, Wajid Khattak, Paul Buhler"
328,Phương pháp nghiên cứu kinh tế kiến thức cơ bản/Trần Tiến Khai
329,Making Sense of Data
330,Introduction to Data Mining
331,"Giáo trình thiết lập và thẩm định dự án đầu tư:Lý thuyết và bài tập/Nguyễn Quốc Ấn, Phạm Thị Hà, Phan Thị Thu Hương, Nguyễn Quang Thu"
332,"Data Mining for Business Analytics: Concepts, Techniques, and Applications with XLMiner"
333,"Cost-Benefit Analysis/Boardman, A.E., Greenberg, D.H., Vining, A.R., and Weimer, D.L"
334,"Hands-on Machine Learning with Scikit-Learn, Keras & TensorFlow"
335,LEARN PYTHON 3 THE HARD WAY A Very Simple Introduction to The Terrifyingly Beautiful World of Computers and Code
336,LEARN PYTHON 3 THE HARD WAY A Very Simple Introduction to The Terrifyingly Beautiful World of Computers and Code
337,Learning Python: Powerful Object-Oriented Programming
338,Think Python
339,Python Cookbook
340,Python Networkig Programing Cookbook
341,Hands-On Artificial Intelligence for IoT
342,Foundations of Python Network Programming: The comprehensive guide to building network applications with Python
343,"Kế toán quản trị/Đoàn Ngọc Quế, Đào Tất Thắng, Lê Đình Trực"
344,Kế toán quản trị/Huỳnh Lợi
345,"Managerial Accounting/Ronald W. Hilton, David E. Platt"
346,Armstrong’s Handbook of Human Resources Management Practice
347,"Managerial accounting/Ray H. Garrison, Eric W. Noreen, Peter C. Brewer, Nam Sang Cheng, Katherine C. K. Yuen"
348,Quản trị nguồn nhân lực
349,Hành vi tổ chức=Organizational behavior /Nguyễn Hữu Lam
350,"Giáo trình Hành vi tổ chức/Bùi Anh Tuấn, Phạm Thúy Hương"
351,"Six Sigma Case Studies with Minitab/ Kishore K. Pochampally, Surendra M. Gupta "
352,"The Six Sigma Handbook/ Thomas Pyzdek, Paul A. Keller "
353,Quản trị học=Management/Nguyễn Thị Liên Diệp
354,"Quản lý chất lượng trong các tổ chức/Tạ Thị Kiều An, Ngô Thị Ánh, Nguyễn Văn Hóa,..."
355,"Quản trị chiến lược/Lê Thế Giới, Nguyễn Thanh Liêm, Trần Hữu Hải"
356,"Quản lý chất lượng trong các tổ chức : Bài tập /Tạ Thị Kiều An, Ngô Thị Ánh, Nguyễn Ngọc Diệp,..."
357,Six sigma on a budget/Warren Brussee
358,"Quality management for organizational excellence:Introduction to total quality/David L. Geotsch, Stanley . Davis"
359,Nhập môn ngành Công nghệ Kỹ thuật in/Khoa In và Truyền thông
360,Hand book of Print Media/Helmut Kipphan
361,Top 10 kỹ năng mềm cho bạn trẻ/Vĩnh Thắng
362,Lập bản đồ tư duy/Tony Buzan
363,Giáo trình đại cương về sản xuất in
364,Đại cương về kỹ thuật in/ Đặng Dung 
365,Giáo trình màu sắc lý thuyết và ứng dụng:Trong lĩnh vực thiết kế - đồ họa - In /Ngô Anh Tuấn
366,Hand book of Print Media/Helmut Kipphan
367,Giáo trình vật liệu in/Trần Thanh Hà
368,Giáo trình vật liệu in/Trần Thanh Hà
369,Printing materials:Science and technology/Bob Thompson
370,Gravure process and technology/Gravue Association  of America
371,Flexography: principles and practices 6.0.
372,Hand book of Print Media/Helmut Kipphan
373,"ISO 12647 (7 parts): Graphic  technology — Process control for the production of half-tone colour separations, proof and production prints/International Organization  for Standardization"
374,"Troubleshooting Guides:  Sheet-fed Offset inks, Publication Gravure inks, Flexography inks, News Ink, UV inks/Flint Group"
375,"Giáo trình thực hành - thí nghiệm vật liệu in: dùng cho môn học Giáo trình thực hành - thí nghiệm vật liệu in/ Trần Thanh Hà, Nguyễn Thành Phương"
376,Giáo trình vật liệu in/Trần Thanh Hà
377,Màu sắc lý thuyết và ứng dụng:Trong lĩnh vực thiết kế - đồ họa - In /Ngô Anh Tuấn
378,Digital color management : principles and strategies for the standardized print production / Jan-Peter Homann.
379,Color and its reproduction/ Gary G. Field.
380,Understanding Desktop Color/Michael Wieran
381,Understanding Digital Color/Phil Green
382,Color Scanning and Imaging Systems/Gary G.Field
383,Scanning Professional Way/Sybil Ihrig & Emil Ihrig
384,Scanning/Linotype
385,Scanning Operater Handbook
386,Color Management/Linotype
