"ID_Mon","TenMon","KyHieu","FileDeCuong","ID_Khoa","ID_BoMon","ID_LoaiMon","TinhTrang"
"237","Kỹ năng làm việc trong môi trường KT","WOPS120390",NULL,NULL,NULL,NULL,"90"
"238","Phương pháp nghiên cứu khoa học","REME320690",NULL,NULL,NULL,NULL,"90"
"239","Quản trị trên môi trường cloud","CLAD432480",NULL,NULL,NULL,NULL,"80"
"240","Công nghệ Internet of Things và bảo mật","IOTS431780",NULL,NULL,NULL,NULL,"80"
"241","Phân tích mã độc","ANMA432880",NULL,NULL,NULL,NULL,"80"
"242","Hệ thống nhúng","ESYS431080",NULL,NULL,NULL,NULL,"80"
"243","Nhập môn ngành Logistics","LOSU130109",NULL,NULL,NULL,NULL,"09"
"244","Toán kinh tế 1","MATH130801",NULL,NULL,NULL,NULL,"01"
"245","Toán kinh tế 2","MATH130901",NULL,NULL,NULL,NULL,"01"
"246","Xác suất thống kê ứng dụng","MATH130401",NULL,NULL,NULL,NULL,"01"
"247","Phương pháp nghiên cứu","RMET220306",NULL,NULL,NULL,NULL,"06"
"248","Phân tích dữ liệu","DANA230606",NULL,NULL,NULL,NULL,"06"
"249","Giao tiếp trong kinh doanh","BCOM321906",NULL,NULL,NULL,NULL,"06"
"250","Hệ thống CIM","CIMS330709",NULL,NULL,NULL,NULL,"09"
"251","Pháp luật về Logistics","TLAW322209",NULL,NULL,NULL,NULL,"09"
"252","Bảo hiểm hàng hóa","CAIN320209",NULL,NULL,NULL,NULL,"09"
"253","Marketing Căn bản","BAMA231209",NULL,NULL,NULL,NULL,"09"
"254","Quản trị Logistics","LOMA322509",NULL,NULL,NULL,NULL,"09"
"255","Mua hàng","PROC330109",NULL,NULL,NULL,NULL,"09"
"256","Quản trị chuỗi cung ứng","SCMA430709",NULL,NULL,NULL,NULL,"09"
"257","Khai báo Hải quan","CUST432109",NULL,NULL,NULL,NULL,"09"
"258","Nghiệp vụ ngoại thương","FTRO432109",NULL,NULL,NULL,NULL,"09"
"259","Quản trị vận hành","OPMA431909",NULL,NULL,NULL,NULL,"09"
"260","Marketing dịch vụ","SERM332009",NULL,NULL,NULL,NULL,"09"
"261","Hàng hóa trong Logistics","CALO432309",NULL,NULL,NULL,NULL,"09"
"262","Chuyên đề thực hành","PRAT421809",NULL,NULL,NULL,NULL,"09"
"263","Chuyên đề hội nhập doanh nghiệp ngành Logistics","SSEN321809",NULL,NULL,NULL,NULL,"09"
"264","Thực tập tốt nghiệp","INTE421109",NULL,NULL,NULL,NULL,"09"
"265","Khóa luận tốt nghiệp/Thi TN","LSCM451409",NULL,NULL,NULL,NULL,"09"
"266","Lịch sử các học thuyết kinh tế","ETHE221506",NULL,NULL,NULL,NULL,"06"
"267","Văn hóa doanh nghiệp","BCUL320506",NULL,NULL,NULL,NULL,"06"
"268","Lập và phân tích dự án","PRAN321106",NULL,NULL,NULL,NULL,"06"
"269","Tin học ứng dụng","APCM230307",NULL,NULL,NULL,NULL,"07"
"270","Quản trị chiến lược Logistics","LSTR322109",NULL,NULL,NULL,NULL,"09"
"271","Kế toán quản trị","MAAC430507",NULL,NULL,NULL,NULL,"07"
"272","Nhập môn ngành Kế toán","INAC130107",NULL,NULL,NULL,NULL,"07"
"273","Phương pháp nghiên cứu","RMET230306",NULL,NULL,NULL,NULL,"06"
"274","Tin học ứng dụng","APCM220307",NULL,NULL,NULL,NULL,"07"
"275","Luật kinh tế","BLAW230308",NULL,NULL,NULL,NULL,"08"
"276","Quản trị Marketing","MAMA331706",NULL,NULL,NULL,NULL,"06"
"277","Chuyên đề thực hành (Kiến tập)","PRAC420607",NULL,NULL,NULL,NULL,"07"
"278","Chuyên đề doanh nghiệp ngành kế toán","SSEN321807",NULL,NULL,NULL,NULL,"07"
"279","Kế toán chi phí","COAC331607",NULL,NULL,NULL,NULL,"07"
"280","Kế toán quản trị","MAAC440507",NULL,NULL,NULL,NULL,"07"
"281","Kế toán quốc tế","INAC331007",NULL,NULL,NULL,NULL,"07"
"282","Kế toán tài chính 1","FIAC330207",NULL,NULL,NULL,NULL,"07"
"283","Kế toán tài chính 2","FIAC330907",NULL,NULL,NULL,NULL,"07"
"284","Lập báo cáo tài chính","FIAC430807",NULL,NULL,NULL,NULL,"07"
"285","Kế toán tài chính nâng cao","ADFA431807",NULL,NULL,NULL,NULL,"07"
"286","Kiểm toán 1","AUDI430207",NULL,NULL,NULL,NULL,"07"
"287","Kiểm toán 2","ADAU430907",NULL,NULL,NULL,NULL,"07"
"288","Phần mềm kế toán","ACSO430407",NULL,NULL,NULL,NULL,"07"
"289","Phân tích hoạt động kinh doanh","BUAN331107",NULL,NULL,NULL,NULL,"07"
"290","Nghiệp vụ ngân hàng thương mại","COBA330507",NULL,NULL,NULL,NULL,"07"
"291","Tài chính doanh nghiệp 1","COFI330307",NULL,NULL,NULL,NULL,"07"
"292","Tài chính doanh nghiệp 2","ADCF430307",NULL,NULL,NULL,NULL,"07"
"293","Thực tập tốt nghiệp","INTE421007",NULL,NULL,NULL,NULL,"07"
"294","Khóa luận tốt nghiệp","GRAT452107",NULL,NULL,NULL,NULL,"07"
"295","Đầu tư quốc tế","ININ220608",NULL,NULL,NULL,NULL,"08"
"296","Thị trường chứng khoán","SEMA430807",NULL,NULL,NULL,NULL,"07"
"297","Anh văn chuyên ngành KT (Business English)","ACBU331507",NULL,NULL,NULL,NULL,"07"
"298","Kế toán hành chính sự nghiệp","APAC330607",NULL,NULL,NULL,NULL,"07"
"299","Kế toán ngân hàng","BAAC331407",NULL,NULL,NULL,NULL,"07"
"300","Lập sổ sách kế toán trên Access","REAC321307",NULL,NULL,NULL,NULL,"07"
"301","Lập sổ sách kế toán trên Excel","REEX321207",NULL,NULL,NULL,NULL,"07"
"302","Quản trị sản xuất","PRMA330806",NULL,NULL,NULL,NULL,"06"
"303","Lập và phân tích dự án","PRAN331106",NULL,NULL,NULL,NULL,"06"
"304","Quản trị marketing","MAMA31706",NULL,NULL,NULL,NULL,"6"
"305","Nhập môn ngành Quản lý CN","INMA130106",NULL,NULL,NULL,NULL,"06"
"306","Vẽ kỹ thuật","TEDG130120",NULL,NULL,NULL,NULL,"20"
"307","Thống kê trong kinh doanh ","BSTA231006",NULL,NULL,NULL,NULL,"06"
"308","Phân tích dữ liệu","DANA230706",NULL,NULL,NULL,NULL,"06"
"309","Quản trị sản xuất 2","PRMA331506",NULL,NULL,NULL,NULL,"06"
"310","Thực hành Quản trị sản xuất","PRMP330806",NULL,NULL,NULL,NULL,"06"
"311","Sản xuất tinh gọn","LEAN420806",NULL,NULL,NULL,NULL,"06"
"312","Quản trị chất lượng","QMAN331606",NULL,NULL,NULL,NULL,"06"
"313","6 Sigma căn bản","SSFU420906",NULL,NULL,NULL,NULL,"06"
"314","Quản lý bảo trì công nghiệp","MAIM330406",NULL,NULL,NULL,NULL,"06"
"315","Quản trị nguồn nhân lực","HRMA331206",NULL,NULL,NULL,NULL,"06"
"316","An toàn lao động và môi trường công nghiệp","WSIE320425",NULL,NULL,NULL,NULL,"25"
"317","Văn hóa doanh nghiệp","BCUL330506",NULL,NULL,NULL,NULL,"06"
"318","Hành vi tổ chức","ORBE330306",NULL,NULL,NULL,NULL,"06"
"319","Quản trị marketing","MAMA330906",NULL,NULL,NULL,NULL,"06"
"320","Kế hoạch kinh doanh","BPLA430606",NULL,NULL,NULL,NULL,"06"
"321","Chuyên đề doanh nghiệp (QLCN)","ENPR221106",NULL,NULL,NULL,NULL,"06"
"322","Thực tập tốt nghiệp","INTE421106",NULL,NULL,NULL,NULL,"06"
"323","Khóa luận tốt nghiệp","IMGR461206",NULL,NULL,NULL,NULL,"06"
"324","Đồ hoạ kỹ thuật trên máy tính (CAD)Auto Cad căn bản","CADM230320",NULL,NULL,NULL,NULL,"20"
"325","Tự động hóa quá trình sản xuất","AMAP432225",NULL,NULL,NULL,NULL,"25"
"326","Kỹ thuật điện","ELEN232044",NULL,NULL,NULL,NULL,"44"
"327","Thiết kế WEB","WEDE330484",NULL,NULL,NULL,NULL,"84"
"328","Quản trị công nghệ","TEMA331406",NULL,NULL,NULL,NULL,"06"
"329","Kế toán quản trị","MAAC331307",NULL,NULL,NULL,NULL,"07"
"330","Cơ khí đại cương","GMEN134025",NULL,NULL,NULL,NULL,"25"
"331","Kỹ thuật số","DITE334029",NULL,NULL,NULL,NULL,"29"
"332","Toán 3","MATH132601",NULL,NULL,NULL,NULL,"01"
"333","Toán ứng dụng trong cơ khí","AMME131529",NULL,NULL,NULL,NULL,"29"
"334","Tin học trong kỹ thuật","COPR134529",NULL,NULL,NULL,NULL,"29"
"335","Cơ kỹ thuật","ENME130620",NULL,NULL,NULL,NULL,"20"
"336","Hóa đại cương","GCHE130603",NULL,NULL,NULL,NULL,"03"
"337","Vật lý 2","PHYS131002",NULL,NULL,NULL,NULL,"02"
"338","Thí nghiệm vật liệu học","MATE210330",NULL,NULL,NULL,NULL,"30"
"339","Anh văn chuyên ngành cơ khí","ENME320124",NULL,NULL,NULL,NULL,"24"
"340","Đồ án Công nghệ chế tạo máy","PMMT113625",NULL,NULL,NULL,NULL,"25"
"341","Chuyên đề Doanh nghiệp (CNKTCK)","SEMI322824",NULL,NULL,NULL,NULL,"24"
"342","Thiết kế, chế tạo khuôn mẫu","MOLD331224",NULL,NULL,NULL,NULL,"24"
"343","CAD/CAM-CNC nâng cao","ACCC330525",NULL,NULL,NULL,NULL,"25"
"344","Tự động hoá quá trình sản xuất (CKM)","AUMP323525",NULL,NULL,NULL,NULL,"25"
"345","TN Tự động hoá quá trình sản xuất (CKM)","EMPA313625",NULL,NULL,NULL,NULL,"25"
"346","Công nghệ thủy lực và khí nén","PNHY230529",NULL,NULL,NULL,NULL,"29"
"347","TN Công nghệ thuỷ lực và khí nén","EPHT310629",NULL,NULL,NULL,NULL,"29"
"348","Thực tập thiết kế, chế tạo khuôn mẫu","PMDM321324",NULL,NULL,NULL,NULL,"24"
"349","Thực tập Công nghệ nhựa","PLAP322224",NULL,NULL,NULL,NULL,"24"
"350","Thực tập CAD/CAM-CNC nâng cao","PACC320624",NULL,NULL,NULL,NULL,"24"
"351","Khóa luận tốt nghiệp","GRAT472424",NULL,NULL,NULL,NULL,"24"
"352","Chuyên đề tốt nghiệp 1 (CNKTCK)","STOG432524",NULL,NULL,NULL,NULL,"24"
"353","Chuyên đề tốt nghiệp 2 (CNKTCK)","STOG422624",NULL,NULL,NULL,NULL,"24"
"354","Chuyên đề tốt nghiệp 3 (CNKTCK)","STOG422724",NULL,NULL,NULL,NULL,"24"
"355","Viết tài liệu kỹ thuật dành cho kỹ sư","TEWR123525",NULL,NULL,NULL,NULL,"25"
"356","Kinh tế học đại cương (Ngành ngoài k.tế)","GEEC220105",NULL,NULL,NULL,NULL,"05"
"357","Dao động kỹ thuật","MEVI220820",NULL,NULL,NULL,NULL,"20"
"358","Cơ học lưu chất ứng dụng (CKM)","FLUI220132",NULL,NULL,NULL,NULL,"32"
"359","Tối ưu hóa trong kỹ thuật","OPTE322925",NULL,NULL,NULL,NULL,"25"
"360","Trí tuệ nhân tạo","AIAP324029",NULL,NULL,NULL,NULL,"29"
"361","Thiết kế kỹ thuật cơ bản","BAED133925",NULL,NULL,NULL,NULL,"25"
"362","Kỹ thuật nhiệt","THER222932",NULL,NULL,NULL,NULL,"32"
"363","Quản trị sản xuất và chất lượng","MQMA331326",NULL,NULL,NULL,NULL,"26"
"364","Thiết kế sản phẩm công nghiệp","DEIP331225",NULL,NULL,NULL,NULL,"25"
"365","Kỹ thuật Robot","ROBO331129",NULL,NULL,NULL,NULL,"29"
"366","Ứng dụng CAE trong thiết kế","CAED321024",NULL,NULL,NULL,NULL,"24"
"367","Thí nghiệm CAE","ECAE311124",NULL,NULL,NULL,NULL,"24"
"368","Mô hình hóa và phân tích hệ thống cơ khí","MAMS333625",NULL,NULL,NULL,NULL,"25"
"369","Hệ thống truyền động servo","SERV334029",NULL,NULL,NULL,NULL,"29"
"370","Công nghệ nano","NATE322625",NULL,NULL,NULL,NULL,"25"
"371","Phương pháp Phần tử hữu hạn - Căn bản","IFEM230220",NULL,NULL,NULL,NULL,"20"
"372","Công nghệ tạo mẫu nhanh & Thiết kế ngược","RAPT330724",NULL,NULL,NULL,NULL,"24"
"373","Thí nghiệm Công nghệ tạo mẫu nhanh & Thiết kế ngược","ERED314125",NULL,NULL,NULL,NULL,"25"
"374","Các phương pháp gia công đặc biệt","NTMP320725",NULL,NULL,NULL,NULL,"25"
"375","Thí nghiệm đo lường nâng cao","AEMM214025",NULL,NULL,NULL,NULL,"25"
"376","Điều khiển tự động","AUCO330329",NULL,NULL,NULL,NULL,"29"
"377","Thí nghiệm Bảo trì và bảo dưỡng công nghiệp","EIMA310625",NULL,NULL,NULL,NULL,"25"
"378","Quản trị sản xuất theo Lean và JIT","LJIT321126",NULL,NULL,NULL,NULL,"26"
"379","Cảm biến và cơ cấu chấp hành","ENMA225929",NULL,NULL,NULL,NULL,"29"
"380","Bảo trì và bảo dưỡng công nghiệp","IMAS320525",NULL,NULL,NULL,NULL,"25"
"381","Năng lượng và quản lý năng lượng","ERMA321025",NULL,NULL,NULL,NULL,"25"
"382","Trang bị điện - Điện tử trong máy công nghiệp","EEEI321925",NULL,NULL,NULL,NULL,"25"
"383","Nhập môn Kỹ thuật Cơ khí","INME130125",NULL,NULL,NULL,NULL,"25"
"384","Thí nghiệm vật lý 1","PHYS111202",NULL,NULL,NULL,NULL,"02"
"385","Vẽ kỹ thuật cơ khí","MEDR141123",NULL,NULL,NULL,NULL,"23"
"386","Vẽ kỹ thuật cơ khí nâng cao","AMDR221223",NULL,NULL,NULL,NULL,"23"
"387","Sức bền vật liệu (Cơ khí)","MEMA230720",NULL,NULL,NULL,NULL,"20"
"388","Nguyên lý - Chi tiết máy ","MMCD230323",NULL,NULL,NULL,NULL,"23"
"389","Đồ án Thiết kế máy","MDPR310423",NULL,NULL,NULL,NULL,"23"
"390","Dung sai - Kỹ thuật đo","TOMT220225",NULL,NULL,NULL,NULL,"25"
"391","Thí nghiệm đo lường cơ khí","EXMM210325",NULL,NULL,NULL,NULL,"25"
"392","Vật liệu học","ENMA220230",NULL,NULL,NULL,NULL,"30"
"393","Cơ sở công nghệ chế tạo máy","FMMT330825",NULL,NULL,NULL,NULL,"25"
"394","Công nghệ kim loại","METE224230",NULL,NULL,NULL,NULL,"30"
"395","TN Công nghệ thuỷ lực và khí nén","EPHT210629",NULL,NULL,NULL,NULL,"29"
"396","Máy và hệ thống điều khiển số","MTNC330925",NULL,NULL,NULL,NULL,"25"
"397","Công nghệ chế tạo máy","MMAT344225",NULL,NULL,NULL,NULL,"25"
"398","Đồ án Công nghệ chế tạo máy","PMMT311625",NULL,NULL,NULL,NULL,"25"
"399","TN Trang bị điện - Điện tử trong máy công nghiệp","ELDR312025",NULL,NULL,NULL,NULL,"25"
"400","Công nghệ CAD/CAM-CNC","CCCT331725",NULL,NULL,NULL,NULL,"25"
"401","Chuyên đề Doanh nghiệp (CNCTM)","SEMI323525",NULL,NULL,NULL,NULL,"25"
"402","Thiết kế, chế tạo khuôn mẫu","MOLD331225",NULL,NULL,NULL,NULL,"25"
"403","Thực tập nguội","MHAP110127",NULL,NULL,NULL,NULL,"27"
"404","Thực tập Kỹ thuật Hàn","WEPR210430",NULL,NULL,NULL,NULL,"30"
"405","Thực tập Cơ khí 1","MEPR240227",NULL,NULL,NULL,NULL,"27"
"406","Thực tập Cơ khí 2","MEPR330327",NULL,NULL,NULL,NULL,"27"
"407","Thực tập CNC","PCNC322125",NULL,NULL,NULL,NULL,"25"
"408","Thực tập Công nghệ CAD/CAM-CNC","PCCC321825",NULL,NULL,NULL,NULL,"25"
"409","Thực tập Tốt nghiệp (CNCTM)","FAIN443825",NULL,NULL,NULL,NULL,"25"
"410","Khóa luận tốt nghiệp (CNCTM)","GRAT473125",NULL,NULL,NULL,NULL,"25"
"411","Chuyên đề tốt nghiệp 1 (CNCTM)","STOG433225",NULL,NULL,NULL,NULL,"25"
"412","Chuyên đề tốt nghiệp 2 (CNCTM)","STOG423325",NULL,NULL,NULL,NULL,"25"
"413","Chuyên đề tốt nghiệp 3 (CNCTM)","STOG423425",NULL,NULL,NULL,NULL,"25"
"414","Các phương pháp đo lường cơ khí hiện đại","MMMM323725",NULL,NULL,NULL,NULL,"25"
