"ID_Mon","TenMon","KyHieu","FileDeCuong","ID_Khoa","ID_BoMon","ID_LoaiMon","TinhTrang"
"223","Chuyên đề doanh nghiệp","INTE202879",NULL,NULL,NULL,NULL,NULL
"224","Thực tập Tốt Nghiệp (ATTT)","ITIN441085",NULL,NULL,NULL,NULL,NULL
"225","Lãnh đạo và kinh doanh trong kỹ thuật","LEBU202979",NULL,NULL,NULL,NULL,NULL
"226","Khóa luận tốt nghiệp","GRPR474377",NULL,NULL,NULL,NULL,NULL
"227","Kinh tế học đại cương","GEFC220105",NULL,NULL,NULL,NULL,NULL
"228","Nhập môn quản trị chất lượng","IQMA220205",NULL,NULL,NULL,NULL,NULL
"229","Nhập môn Quản trị học","INMA220305",NULL,NULL,NULL,NULL,NULL
"230","Nhập môn Logic học ","INLO220405",NULL,NULL,NULL,NULL,NULL
"231","Cơ sở văn hoá Việt Nam","IVNC320905",NULL,NULL,NULL,NULL,NULL
"232","Nhập môn Xã hội học","INSO321005",NULL,NULL,NULL,NULL,NULL
"233","Tâm lý học kỹ sư","ENPS220591",NULL,NULL,NULL,NULL,NULL
"234","Tư duy hệ thống","SYTH220491",NULL,NULL,NULL,NULL,NULL
"235","Kỹ năng học tập đại học","LESK120190",NULL,NULL,NULL,NULL,NULL
"236","Kỹ năng xây dựng kế hoạch","PLSK120290",NULL,NULL,NULL,NULL,NULL
"237","Kỹ năng làm việc trong môi trường KT","WOPS120390",NULL,NULL,NULL,NULL,NULL
"238","Phương pháp nghiên cứu khoa học","REME320690",NULL,NULL,NULL,NULL,NULL
"239","Quản trị trên môi trường cloud","CLAD432480",NULL,NULL,NULL,NULL,NULL
"240","Công nghệ Internet of Things và bảo mật","IOTS431780",NULL,NULL,NULL,NULL,NULL
"241","Phân tích mã độc","ANMA432880",NULL,NULL,NULL,NULL,NULL
"242","Hệ thống nhúng","ESYS431080",NULL,NULL,NULL,NULL,NULL
"243","Nhập môn ngành Logistics","LOSU130109",NULL,NULL,NULL,NULL,NULL
"244","Toán kinh tế 1","MATH130801",NULL,NULL,NULL,NULL,NULL
"245","Toán kinh tế 2","MATH130901",NULL,NULL,NULL,NULL,NULL
"246","Xác suất thống kê ứng dụng","MATH130401",NULL,NULL,NULL,NULL,NULL
"247","Phương pháp nghiên cứu","RMET220306",NULL,NULL,NULL,NULL,NULL
"248","Phân tích dữ liệu","DANA230606",NULL,NULL,NULL,NULL,NULL
"249","Giao tiếp trong kinh doanh","BCOM321906",NULL,NULL,NULL,NULL,NULL
"250","Hệ thống CIM","CIMS330709",NULL,NULL,NULL,NULL,NULL
"251","Pháp luật về Logistics","TLAW322209",NULL,NULL,NULL,NULL,NULL
"252","Bảo hiểm hàng hóa","CAIN320209",NULL,NULL,NULL,NULL,NULL
"253","Marketing Căn bản","BAMA231209",NULL,NULL,NULL,NULL,NULL
"254","Quản trị Logistics","LOMA322509",NULL,NULL,NULL,NULL,NULL
"255","Mua hàng","PROC330109",NULL,NULL,NULL,NULL,NULL
"256","Quản trị chuỗi cung ứng","SCMA430709",NULL,NULL,NULL,NULL,NULL
"257","Khai báo Hải quan","CUST432109",NULL,NULL,NULL,NULL,NULL
"258","Nghiệp vụ ngoại thương","FTRO432109",NULL,NULL,NULL,NULL,NULL
"259","Quản trị vận hành","OPMA431909",NULL,NULL,NULL,NULL,NULL
"260","Marketing dịch vụ","SERM332009",NULL,NULL,NULL,NULL,NULL
"261","Hàng hóa trong Logistics","CALO432309",NULL,NULL,NULL,NULL,NULL
"262","Chuyên đề thực hành","PRAT421809",NULL,NULL,NULL,NULL,NULL
"263","Chuyên đề hội nhập doanh nghiệp ngành Logistics","SSEN321809",NULL,NULL,NULL,NULL,NULL
"264","Thực tập tốt nghiệp","INTE421109",NULL,NULL,NULL,NULL,NULL
"265","Khóa luận tốt nghiệp/Thi TN","LSCM451409",NULL,NULL,NULL,NULL,NULL
"266","Lịch sử các học thuyết kinh tế","ETHE221506",NULL,NULL,NULL,NULL,NULL
"267","Văn hóa doanh nghiệp","BCUL320506",NULL,NULL,NULL,NULL,NULL
"268","Lập và phân tích dự án","PRAN321106",NULL,NULL,NULL,NULL,NULL
"269","Tin học ứng dụng","APCM230307",NULL,NULL,NULL,NULL,NULL
"270","Quản trị chiến lược Logistics","LSTR322109",NULL,NULL,NULL,NULL,NULL
"271","Kế toán quản trị","MAAC430507",NULL,NULL,NULL,NULL,NULL
"272","Nhập môn ngành Kế toán","INAC130107",NULL,NULL,NULL,NULL,NULL
"273","Phương pháp nghiên cứu","RMET230306",NULL,NULL,NULL,NULL,NULL
"274","Tin học ứng dụng","APCM220307",NULL,NULL,NULL,NULL,NULL
"275","Luật kinh tế","BLAW230308",NULL,NULL,NULL,NULL,NULL
"276","Quản trị Marketing","MAMA331706",NULL,NULL,NULL,NULL,NULL
"277","Chuyên đề thực hành (Kiến tập)","PRAC420607",NULL,NULL,NULL,NULL,NULL
"278","Chuyên đề doanh nghiệp ngành kế toán","SSEN321807",NULL,NULL,NULL,NULL,NULL
"279","Kế toán chi phí","COAC331607",NULL,NULL,NULL,NULL,NULL
"280","Kế toán quản trị","MAAC440507",NULL,NULL,NULL,NULL,NULL
"281","Kế toán quốc tế","INAC331007",NULL,NULL,NULL,NULL,NULL
"282","Kế toán tài chính 1","FIAC330207",NULL,NULL,NULL,NULL,NULL
"283","Kế toán tài chính 2","FIAC330907",NULL,NULL,NULL,NULL,NULL
